code,label_en,usage_count,full_uri
IGMO,GMOs,180,http://publications.europa.eu/resource/authority/subject-matter/IGMO
CTEM,Quotas between Member States,163,http://publications.europa.eu/resource/authority/subject-matter/CTEM
IMVT,"Motor vehicles, including agricultural and forestry tractors",156,http://publications.europa.eu/resource/authority/subject-matter/IMVT
FEAGA,European Agricultural Guarantee Fund,155,http://publications.europa.eu/resource/authority/subject-matter/FEAGA
PCIV,Civil protection,155,http://publications.europa.eu/resource/authority/subject-matter/PCIV
CROM,Rome Convention of 19 June 1980,149,http://publications.europa.eu/resource/authority/subject-matter/CROM
ORIG,Rules of origin,148,http://publications.europa.eu/resource/authority/subject-matter/ORIG
c_7b45b05f,Auditing,146,http://publications.europa.eu/resource/authority/subject-matter/c_7b45b05f
COPT,"Economic, financial and technical cooperation with third countries",142,http://publications.europa.eu/resource/authority/subject-matter/COPT
c_726ab1b3,General framework,142,http://publications.europa.eu/resource/authority/subject-matter/c_726ab1b3
PERE,Scrap equalisation,141,http://publications.europa.eu/resource/authority/subject-matter/PERE
HOUI,Hard coal,139,http://publications.europa.eu/resource/authority/subject-matter/HOUI
IFOT,Food – other,139,http://publications.europa.eu/resource/authority/subject-matter/IFOT
DOUA,Customs Cooperation,137,http://publications.europa.eu/resource/authority/subject-matter/DOUA
FEVT,Eur Foundation Improvement of Living and Working Conditions,133,http://publications.europa.eu/resource/authority/subject-matter/FEVT
PREL,Levies and loans,133,http://publications.europa.eu/resource/authority/subject-matter/PREL
INDR,Indirect taxation,132,http://publications.europa.eu/resource/authority/subject-matter/INDR
LPRA,Free circulation,130,http://publications.europa.eu/resource/authority/subject-matter/LPRA
RTRA,Community transit systems,125,http://publications.europa.eu/resource/authority/subject-matter/RTRA
REACH,REACH,124,http://publications.europa.eu/resource/authority/subject-matter/REACH
IAZC,"Animal disease control, zoonosis control",122,http://publications.europa.eu/resource/authority/subject-matter/IAZC
BREV,Patents,120,http://publications.europa.eu/resource/authority/subject-matter/BREV
DADV,Copyright and related rights,120,http://publications.europa.eu/resource/authority/subject-matter/DADV
BANA,Bananas,117,http://publications.europa.eu/resource/authority/subject-matter/BANA
V-LG,Rabbit meat and farmed game meat,116,http://publications.europa.eu/resource/authority/subject-matter/V-LG
RQME,Quantitative restrictions and measures of equivalent effect,116,http://publications.europa.eu/resource/authority/subject-matter/RQME
ESPA,Space,116,http://publications.europa.eu/resource/authority/subject-matter/ESPA
IFGE,Food – general,112,http://publications.europa.eu/resource/authority/subject-matter/IFGE
c_05d7dbed,Supervisory powers and tasks,112,http://publications.europa.eu/resource/authority/subject-matter/c_05d7dbed
c_9e589776,Trans-European Automated Real-time Gross settlement Express Transfer system (TARGET),111,http://publications.europa.eu/resource/authority/subject-matter/c_9e589776
VSOI,Silkworms,107,http://publications.europa.eu/resource/authority/subject-matter/VSOI
c_eef03101,Sanctions,107,http://publications.europa.eu/resource/authority/subject-matter/c_eef03101
IAFO,Annex 4 Provisions of Union law referred to in Article 9,107,http://publications.europa.eu/resource/authority/subject-matter/IAFO
HARP,Harmonisation of customs law: inward processing,104,http://publications.europa.eu/resource/authority/subject-matter/HARP
TDCN,Customs duties: national tariff quotas,103,http://publications.europa.eu/resource/authority/subject-matter/TDCN
SECR,Security system,103,http://publications.europa.eu/resource/authority/subject-matter/SECR
CRBM,Conservation of marine biological resources,103,http://publications.europa.eu/resource/authority/subject-matter/CRBM
c_491cdcaa,Oversight,103,http://publications.europa.eu/resource/authority/subject-matter/c_491cdcaa
c_8e12de2a,Statistics,102,http://publications.europa.eu/resource/authority/subject-matter/c_8e12de2a
IEXC,Excise,102,http://publications.europa.eu/resource/authority/subject-matter/IEXC
c_c3e5c068,Monetary policy and Operations,102,http://publications.europa.eu/resource/authority/subject-matter/c_c3e5c068
IPRM,Plant reproductive material,102,http://publications.europa.eu/resource/authority/subject-matter/IPRM
IPPE,"Construction products, machinery, cableways, personal protective equipment",101,http://publications.europa.eu/resource/authority/subject-matter/IPPE
c_594e5232,Temporary framework,99,http://publications.europa.eu/resource/authority/subject-matter/c_594e5232
c_76b44336,Banking supervision,98,http://publications.europa.eu/resource/authority/subject-matter/c_76b44336
c_3ad55b09,Minimum reserves,97,http://publications.europa.eu/resource/authority/subject-matter/c_3ad55b09
COPE,European political cooperation,95,http://publications.europa.eu/resource/authority/subject-matter/COPE
EAMA,Associated African States and Madagascar,93,http://publications.europa.eu/resource/authority/subject-matter/EAMA
PIM,Integrated Mediterranean programmes (IMP),92,http://publications.europa.eu/resource/authority/subject-matter/PIM
MIN,Ore,85,http://publications.europa.eu/resource/authority/subject-matter/MIN
c_f6ee40b4,Protection of the euro,84,http://publications.europa.eu/resource/authority/subject-matter/c_f6ee40b4
CAFE,Coffee,82,http://publications.europa.eu/resource/authority/subject-matter/CAFE
CEEA,Euratom matters,73,http://publications.europa.eu/resource/authority/subject-matter/CEEA
ITRA,General trade related aspects,72,http://publications.europa.eu/resource/authority/subject-matter/ITRA
c_64a25727,Accounting and reporting,71,http://publications.europa.eu/resource/authority/subject-matter/c_64a25727
CEDH,European Convention on Human Rights,71,http://publications.europa.eu/resource/authority/subject-matter/CEDH
c_eb901451,Foreign reserves,70,http://publications.europa.eu/resource/authority/subject-matter/c_eb901451
c_7ca072c7,Coin issuance,68,http://publications.europa.eu/resource/authority/subject-matter/c_7ca072c7
OBT,Plant varieties,67,http://publications.europa.eu/resource/authority/subject-matter/OBT
c_964d98cc,Institutional structure and Governance,67,http://publications.europa.eu/resource/authority/subject-matter/c_964d98cc
EMPR,Loans contracted by the ECSC,64,http://publications.europa.eu/resource/authority/subject-matter/EMPR
IWAS,Waste,58,http://publications.europa.eu/resource/authority/subject-matter/IWAS
IRBS,Regulations on bilateral safeguards,57,http://publications.europa.eu/resource/authority/subject-matter/IRBS
IRTR,Rail transport,56,http://publications.europa.eu/resource/authority/subject-matter/IRTR
c_06daf249,Organisational principles,55,http://publications.europa.eu/resource/authority/subject-matter/c_06daf249
c_68aa4a7e,Euro banknotes production,54,http://publications.europa.eu/resource/authority/subject-matter/c_68aa4a7e
c_abd72d0f,External transactions and positions,53,http://publications.europa.eu/resource/authority/subject-matter/c_abd72d0f
c_6c9bbb79,Capital of the ECB,52,http://publications.europa.eu/resource/authority/subject-matter/c_6c9bbb79
SOLD,Products of Annex II EEC Treaty and Regulation No 827/68,52,http://publications.europa.eu/resource/authority/subject-matter/SOLD
CORE,Closer cooperation,51,http://publications.europa.eu/resource/authority/subject-matter/CORE
c_d82c4c81,ECB institutional provisions,50,http://publications.europa.eu/resource/authority/subject-matter/c_d82c4c81
IMED,Medical devices,48,http://publications.europa.eu/resource/authority/subject-matter/IMED
c_d7a89aa3,Microprudential tasks,47,http://publications.europa.eu/resource/authority/subject-matter/c_d7a89aa3
c_f3f2224d,Conditions of employment,45,http://publications.europa.eu/resource/authority/subject-matter/c_f3f2224d
c_adb3ab0f,Capital requirements,43,http://publications.europa.eu/resource/authority/subject-matter/c_adb3ab0f
ADMI,Common customs tariff: temporary importation,41,http://publications.europa.eu/resource/authority/subject-matter/ADMI
c_206cfcfa,Cooperation in the field of banking supervision,41,http://publications.europa.eu/resource/authority/subject-matter/c_206cfcfa
c_29b3ace8,Rules of procedure and other internal arrangements,39,http://publications.europa.eu/resource/authority/subject-matter/c_29b3ace8
TUC,ECSC unified common tariff,39,http://publications.europa.eu/resource/authority/subject-matter/TUC
IME,European Monetary Institute,39,http://publications.europa.eu/resource/authority/subject-matter/IME
CHAR,Coal,39,http://publications.europa.eu/resource/authority/subject-matter/CHAR
c_6365150f,General statistics,38,http://publications.europa.eu/resource/authority/subject-matter/c_6365150f
IFHY,Food – hygiene,38,http://publications.europa.eu/resource/authority/subject-matter/IFHY
c_38e22180,Monetary income,38,http://publications.europa.eu/resource/authority/subject-matter/c_38e22180
c_5cd67341,Euro banknotes issuance,37,http://publications.europa.eu/resource/authority/subject-matter/c_5cd67341
c_c47bf652,TARGET2-Securities (T2S),37,http://publications.europa.eu/resource/authority/subject-matter/c_c47bf652
TDCD,Customs duties: authorisation to defer application of CCT,36,http://publications.europa.eu/resource/authority/subject-matter/TDCD
CAC,Cocoa,35,http://publications.europa.eu/resource/authority/subject-matter/CAC
ICOT,"Cosmetics, toys",35,http://publications.europa.eu/resource/authority/subject-matter/ICOT
